,Thời gian,Tiêu đề,URL
87,16/04/2025 00:00,PDR: Thông báo nhận được công văn của UBCKNN về hồ sơ đăng ký phát hành cổ phiếu để hoán đổi nợ,https://cafef.vn/du-lieu/PDR-2179783/pdr-thong-bao-nhan-duoc-cong-van-cua-ubcknn-ve-ho-so-dang-ky-phat-hanh-co-phieu-de-hoan-doi-no.chn?utm_source=du-lieu.chn
88,11/04/2025 00:00,PDR: Công ty TNHH Phát Đạt Holdings đã bán 880.000 cp,https://cafef.vn/du-lieu/PDR-2181114/pdr-cong-ty-tnhh-phat-dat-holdings-da-ban-880000-cp.chn?utm_source=du-lieu.chn
89,11/04/2025 00:00,PDR: Ông Nguyễn Văn Đạt - Chủ tịch HĐQT đã bán 1.620.000 cp,https://cafef.vn/du-lieu/PDR-2181116/pdr-ong-nguyen-van-dat-chu-tich-hdqt-da-ban-1620000-cp.chn?utm_source=du-lieu.chn
90,10/04/2025 14:48,Chủ tịch HĐQT Phát Đạt bị call margin hàng triệu cổ phiếu,https://cafef.vn/chu-tich-hdqt-phat-dat-bi-call-margin-hang-trieu-co-phieu-188250410144442547.chn?utm_source=du-lieu.chn
91,04/04/2025 00:00,PDR: Giải trình KQKD năm 2024 sau kiểm toán so với cùng kỳ năm trước,https://cafef.vn/du-lieu/PDR-2165924/pdr-giai-trinh-kqkd-nam-2024-sau-kiem-toan-so-voi-cung-ky-nam-truoc.chn?utm_source=du-lieu.chn
92,04/04/2025 00:00,PDR: Giải trình chênh lệch KQKD năm 2024 trước và sau kiểm toán,https://cafef.vn/du-lieu/PDR-2165925/pdr-giai-trinh-chenh-lech-kqkd-nam-2024-truoc-va-sau-kiem-toan.chn?utm_source=du-lieu.chn
93,02/04/2025 00:00,PDR: Nhắc nhở chậm nộp BCTC kiểm toán năm 2024,https://cafef.vn/du-lieu/PDR-2164219/pdr-nhac-nho-cham-nop-bctc-kiem-toan-nam-2024.chn?utm_source=du-lieu.chn
94,01/04/2025 00:00,PDR: Quyết định của HĐQT gia hạn thời gian tổ chức ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/PDR-2163092/pdr-quyet-dinh-cua-hdqt-gia-han-thoi-gian-to-chuc-dhdcd-thuong-nien-nam-2025.chn?utm_source=du-lieu.chn
95,24/03/2025 13:00,"Người từng là ""tay hòm chìa khóa"" của Phát Đạt thao túng cổ phiếu PDR?",https://cafef.vn/nguoi-tung-la-tay-hom-chia-khoa-cua-phat-dat-thao-tung-co-phieu-pdr-188250324122629106.chn?utm_source=du-lieu.chn
96,14/03/2025 00:00,PDR: Ông Lê Quang Phúc - thành viên HĐQT đã bán 240.000 cp,https://cafef.vn/du-lieu/PDR-2150426/pdr-ong-le-quang-phuc-thanh-vien-hdqt-da-ban-240000-cp.chn?utm_source=du-lieu.chn
97,11/03/2025 21:20,"Phát Đạt điều chỉnh giảm doanh thu, lợi nhuận năm 2024, sẽ triển khai loạt dự án bất động sản trọng điểm trong năm 2025",https://cafef.vn/phat-dat-dieu-chinh-giam-doanh-thu-loi-nhuan-nam-2024-se-trien-khai-loat-du-an-bat-dong-san-trong-diem-trong-nam-2025-188250311202508438.chn?utm_source=du-lieu.chn
98,11/03/2025 00:00,"PDR: CBTT thông qua chủ trương điều chỉnh doanh thu, lợi nhuận sau thuế năm 2024",https://cafef.vn/du-lieu/PDR-2147826/pdr-cbtt-thong-qua-chu-truong-dieu-chinh-doanh-thu-loi-nhuan-sau-thue-nam-2024.chn?utm_source=du-lieu.chn
99,01/03/2025 09:37,"Chủ tịch Phát Đạt: Dự kiến sẽ thu đủ khoản nợ 1.000 tỷ đồng từ Danh Khôi trong 6-12 tháng tới, sắp mua thêm 1-2 dự án trong quý II",https://cafef.vn/chu-tich-phat-dat-du-kien-se-thu-du-khoan-no-1000-ty-dong-tu-danh-khoi-trong-612-thang-toi-sap-mua-them-12-du-an-trong-quy-ii-188250301093800789.chn?utm_source=du-lieu.chn
100,20/02/2025 00:00,PDR: Đính chính một số nội dung Báo cáo tình hình quản trị công ty năm 2024,https://cafef.vn/du-lieu/PDR-2134175/pdr-dinh-chinh-mot-so-noi-dung-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2024.chn?utm_source=du-lieu.chn
101,18/02/2025 00:00,PDR: Ông Lê Quang Phúc - thành viên HĐQT đăng ký bán 240.000 cp,https://cafef.vn/du-lieu/PDR-2133121/pdr-ong-le-quang-phuc-thanh-vien-hdqt-dang-ky-ban-240000-cp.chn?utm_source=du-lieu.chn
102,09/02/2025 10:17,Loạt sếp doanh nghiệp bất động sản nhận thù lao tiền tỷ năm 2024,https://cafef.vn/loat-sep-doanh-nghiep-bat-dong-san-nhan-thu-lao-tien-ty-nam-2024-188250209091827143.chn?utm_source=du-lieu.chn
103,03/02/2025 00:00,PDR: Ông Trương Ngọc Dũng - Phó Tổng giám đốc đã bán 62.097 cp,https://cafef.vn/du-lieu/PDR-2123920/pdr-ong-truong-ngoc-dung-pho-tong-giam-doc-da-ban-62097-cp.chn?utm_source=du-lieu.chn
104,24/01/2025 11:35,"Phát Đạt bất ngờ báo doanh thu quý 4/2024 cao gấp 27 lần, dự án Quy Nhơn Iconic ""mang tiền về cho mẹ""",https://cafef.vn/phat-dat-bat-ngo-bao-doanh-thu-quy-42024-cao-gap-27-lan-du-an-quy-nhon-iconic-mang-tien-ve-cho-me-18825012411355808.chn?utm_source=du-lieu.chn
105,24/01/2025 00:00,PDR: Ông Nguyễn Khắc Sinh - Phó Tổng giám đốc đã bán 57.898 cp,https://cafef.vn/du-lieu/PDR-2123870/pdr-ong-nguyen-khac-sinh-pho-tong-giam-doc-da-ban-57898-cp.chn?utm_source=du-lieu.chn
