Unnamed: 0,time,open,high,low,close,volume,SMA_5,SMA_20,EMA_10,Momentum_3,Momentum_10,RSI_14,MACD,MACD_Signal,BB_Middle,BB_Upper,BB_Lower,OBV
0,2023-11-24,22.59,22.96,21.67,22.96,20182509,22.96,22.96,22.96,-0.005226480836237002,0.0457317073170731,0.0,0.0,22.96,22.96,23.609091629284897,21.600908370715104,0.0
1,2023-11-27,22.96,23.13,22.25,22.25,8128216,22.605,22.605,22.830909090909092,-0.005226480836237002,0.0457317073170731,0.0,0.056638176638177384,22.818,22.605,23.609091629284897,21.600908370715104,-8128216.0
2,2023-11-28,22.17,22.67,21.46,22.59,12236004,22.599999999999998,22.599999999999998,22.787107438016527,-0.005226480836237002,0.0457317073170731,0.4788732394366235,0.07324486002548625,22.7724,22.599999999999998,23.310211236182585,21.88978876381741,4107788.0
3,2023-11-29,22.59,23.01,22.55,22.84,8673701,22.66,22.66,22.796724267468065,-0.005226480836237002,0.0457317073170731,0.8309859154929597,0.06547807510072445,22.785920000000004,22.66,23.28758797524066,22.032412024759342,12781489.0
4,2023-11-30,22.88,23.26,22.59,22.75,10075700,22.678,22.678,22.788228946110234,0.022471910112359605,0.0457317073170731,0.7374999999999972,0.06582628548616043,22.778736000000006,22.678,23.22743607453461,22.128563925465393,2705789.0
5,2023-12-01,22.88,22.92,22.21,22.59,9561029,22.604000000000003,22.66333333333333,22.75218731954474,0.0,0.0457317073170731,0.6145833333333286,0.07811247555467915,22.740988800000007,22.66333333333333,23.15998881419171,22.16667785247495,-6855240.0
6,2023-12-04,22.92,23.93,22.88,23.72,16517443,22.898000000000003,22.814285714285713,22.928153261445694,0.038528896672504365,0.0457317073170731,1.7916666666666572,-0.0032942128594974918,22.936791040000006,22.814285714285713,23.73275234535129,21.895819083220136,9662203.0
7,2023-12-05,23.76,23.97,23.38,23.38,10176758,23.056,22.884999999999998,23.01030721391011,0.027692307692307683,0.0457317073170731,1.3230769230769255,-0.03991433383517062,23.025432832000007,22.884999999999998,23.824726403952614,21.945273596047382,-514555.0
8,2023-12-06,23.42,24.09,23.17,24.09,16512405,23.306,23.01888888888889,23.206614993199178,0.06640106241699861,0.0457317073170731,1.869230769230768,-0.12478862424249115,23.238346265600008,23.01888888888889,24.209705602092246,21.82807217568553,15997850.0
9,2023-12-07,24.22,24.72,22.8,23.97,22030806,23.55,23.113999999999997,23.345412267162963,0.010539629005059004,0.0457317073170731,1.7112676056337932,-0.18029083325970774,23.384677012480008,23.113999999999997,24.38770675152834,21.840293248471653,-6032956.0
10,2023-12-08,24.13,24.13,23.38,24.01,13070777,23.833999999999996,23.195454545454545,23.46624640040606,0.026946107784431295,0.0457317073170731,1.7394366197183047,-0.22491175675456532,23.509741609984008,23.195454545454545,24.51909690308333,21.87181218782576,7037821.0
